2026-06-20 17:50:21,936 - INFO - 添加AI: Simple Chess AI 1 (ID: SimpleAI_1, 端口: 40001, 算法: simple)
2026-06-20 17:50:21,936 - INFO - 添加AI: Minimax Chess AI 1 (ID: MinimaxAI_1, 端口: 40002, 算法: minimax)
2026-06-20 17:50:21,936 - INFO - 添加AI: Simple Chess AI 2 (ID: SimpleAI_2, 端口: 40003, 算法: simple)
2026-06-20 17:50:24,118 - INFO - 添加AI: Simple Chess AI 1 (ID: SimpleAI_1, 端口: 40001, 算法: simple)
2026-06-20 17:50:24,118 - INFO - 添加AI: Minimax Chess AI 1 (ID: MinimaxAI_1, 端口: 40002, 算法: minimax)
2026-06-20 17:50:24,118 - INFO - 添加AI: Simple Chess AI 2 (ID: SimpleAI_2, 端口: 40003, 算法: simple)
2026-06-20 17:50:26,279 - INFO - 添加AI: Simple Chess AI 1 (ID: SimpleAI_1, 端口: 40001, 算法: simple)
2026-06-20 17:50:26,279 - INFO - 添加AI: Minimax Chess AI 1 (ID: MinimaxAI_1, 端口: 40002, 算法: minimax)
2026-06-20 17:50:26,279 - INFO - 添加AI: Simple Chess AI 2 (ID: SimpleAI_2, 端口: 40003, 算法: simple)
