2026-06-20 13:40:08,862 - INFO - 添加AI: Simple Chess AI 1 (ID: SimpleAI_1, 端口: 40001, 算法: simple)
2026-06-20 13:40:08,862 - INFO - 添加AI: Minimax Chess AI 1 (ID: MinimaxAI_1, 端口: 40002, 算法: minimax)
2026-06-20 13:40:08,863 - INFO - 添加AI: Simple Chess AI 2 (ID: SimpleAI_2, 端口: 40003, 算法: simple)
2026-06-20 13:40:17,160 - INFO - 添加AI: Simple Chess AI 1 (ID: SimpleAI_1, 端口: 40001, 算法: simple)
2026-06-20 13:40:17,160 - INFO - 添加AI: Minimax Chess AI 1 (ID: MinimaxAI_1, 端口: 40002, 算法: minimax)
2026-06-20 13:40:17,160 - INFO - 添加AI: Simple Chess AI 2 (ID: SimpleAI_2, 端口: 40003, 算法: simple)
2026-06-20 13:40:25,437 - INFO - 添加AI: Simple Chess AI 1 (ID: SimpleAI_1, 端口: 40001, 算法: simple)
2026-06-20 13:40:25,437 - INFO - 添加AI: Minimax Chess AI 1 (ID: MinimaxAI_1, 端口: 40002, 算法: minimax)
2026-06-20 13:40:25,437 - INFO - 添加AI: Simple Chess AI 2 (ID: SimpleAI_2, 端口: 40003, 算法: simple)
